Meet|Level|Date|Results|Meet Url
2023 May Online Qualifier Presented by WODProof|Local|2023-05-31|60|5905
2023 Pan American Masters|International|2023-05-28|319|5915
BASA BIG Saturday Open 2023|Local|2023-05-27|31|5909
UO Spring Open|Local|2023-05-27|10|5913
Nemesis Last Minute Qualifier|Local|2023-05-25|3|5901
PBC In-house qualifier|Local|2023-05-24|6|5902
Last Chance Qualifier|Local|2023-05-23|1|5898
Midwest Slamfest|Local|2023-05-21|37|5886
Barbells in the Boro|Local|2023-05-21|47|5888
Las Vegas Barbell Spring Weightlifting Championships|Local|2023-05-21|36|5889
BE SOMEBODY. Summer Slam!|Local|2023-05-21|20|5881
Midwest Masters|Local|2023-05-21|6|5892
2023 Florida WSO State Championships|Local|2023-05-21|473|5893
2023 Seahawk Open - NUQ|Local|2023-05-21|26|5883
Vehement Grandslam Invitational|Local|2023-05-21|20|5894
RCW Open|Local|2023-05-21|98|5885
Spring Fling 2023|Local|2023-05-20|19|5896
Muscle + Mindset Spring Classic|Local|2023-05-20|18|5875
Spring Hill HS Spring Open|Local|2023-05-20|15|5897
2023 Chad Addison Memorial Weightlifting Meet|Local|2023-05-20|19|5876
Hot Hot Heat Weightlifting Meet 2.0|Local|2023-05-20|23|5887
Myriad 500|Local|2023-05-20|43|5872
CHFP Team Qualifier|Local|2023-05-20|6|5877
Last Chance Nationals|Local|2023-05-20|8|5899
9th Annual Athleo Open|Local|2023-05-20|17|5900
South Texas Summer Open|Local|2023-05-20|78|5879
Lebanon Barbell Clubs Annual Lift-Right Initiative|Local|2023-05-20|36|5890
Funkytown Throwdown 2023|Local|2023-05-20|59|5880
Finest City Open LCQ|Local|2023-05-20|85|5891
Hall of Fame Classic|Local|2023-05-20|73|5882
Raising the Bar|Local|2023-05-20|35|5873
2023 Central New York Regional Weightlifting Open|Local|2023-05-20|35|5884
Nanny McCarthy|Local|2023-05-20|6|5895
Dark Side Weightlifting Meet|Local|2023-05-19|6|5874
The Miller Gym 9th Anniversary Invite|Local|2023-05-14|35|5870
2023 Spring Liftoff - NUQ|Local|2023-05-14|30|5861
GTX Spring Open|Local|2023-05-14|25|5865
2023 Lock and Load|Local|2023-05-14|58|5858
Music City Fit Expo Weightlifting Meet|Local|2023-05-13|30|5859
2nd Annual Cherokee Barbell Open|Local|2023-05-13|22|5860
Dillon Open|Local|2023-05-13|17|5903
Music City Fit Expo Weightlifting Meet|Local|2023-05-13|30|5859
2nd Annual Cherokee Barbell Open|Local|2023-05-13|22|5860
Lift Like Lee Draper Memorial Meet|Local|2023-05-13|23|5871
West Chester Spring Classic|Local|2023-05-13|13|5862
LIFTOMANIA IV|Local|2023-05-13|65|5863
2023 National Police Week Open|Local|2023-05-13|7|5864
Stars, Stripes and White Lights 2023|Local|2023-05-13|23|5878
Closed Meet - National Qualifier|Local|2023-05-07|7|5845
Mastiff Barbell Open|Local|2023-05-07|71|5857
2023 Western New York Regional Open|Local|2023-05-07|23|5846
3 Kings Youth Spring In House|Local|2023-05-07|6|5853
2023 Oklahoma State Championship & Open|Local|2023-05-07|83|5854
2023 Mountain North WSO Championship|Local|2023-05-07|145|5855
The Glass City Spring Open|Local|2023-05-07|9|5866
MASS Mania: Round Two (2023)|Local|2023-05-07|25|5844
Savage Not Average Spring Slam 2023|Local|2023-05-06|14|5847
Bar Wars|Local|2023-05-06|40|5848
Testify Barbell MAYhem|Local|2023-05-06|36|5838
2023 Freedom In House Nationals Qualifier|Local|2023-05-06|11|5839
Puget Sound Classic IV|Local|2023-05-06|35|5850
Iron Factory Weightlifting Spring Open 2023|Local|2023-05-06|11|5840
Heart and Barbell Spring Throwdown|Local|2023-05-06|9|5841
2023 Minnesota-Dakotas WSO Championship|Local|2023-05-06|67|5842
Barbell MAYnia 2023|Local|2023-05-06|48|5843
2023 QUEEN CITY CLASSIC|Local|2023-05-06|101|5856
Optimus Cinco de Mayo|Local|2023-05-05|11|5837
2023 Illinois State Weightlifting Championships|Local|2023-04-30|110|5834
2023 April Online Qualifier Presented by WODProof|Local|2023-04-30|30|5836
Justus Foster Nationals Qualifier|Local|2023-04-30|1|5825
Wisconsin Spring Open|Local|2023-04-30|70|5819
COME TO THE DARK SIDE|Local|2023-04-30|25|5831
VICE Weightlifting In House Meet|Local|2023-04-29|7|5823
Kilo Kickback|Local|2023-04-29|31|5835
Almost Summer Comp|Local|2023-04-29|6|5824
2023 Tennessee State Championships|Local|2023-04-29|32|5826
Missouri State Championships (The Barbell Games)|Local|2023-04-29|64|5849
ECG Spring Fling|Local|2023-04-29|71|5828
2023 OSS Spring Meet|Local|2023-04-29|11|5817
Virus Classic at SoCal|Local|2023-04-29|84|5829
Spencer Tsai Memorial Open|Local|2023-04-29|34|5818
Mangold Baddies|Local|2023-04-29|5|5852
In House Qualifier|Local|2023-04-29|6|5830
2023 Spring Fling|Local|2023-04-29|25|5820
Folsom Open 2- 2023|Local|2023-04-29|71|5832
Freehold Spring Lift Off 2023|Local|2023-04-29|73|5821
2023 Grand Canyon State Games & Nationals Qualifier|Local|2023-04-29|39|5833
PBC Spring Qualifier|Local|2023-04-23|44|5822
South Bay Open|Local|2023-04-22|114|5812
Allsouth Spring Kickoff and Youth invitational|Local|2023-04-22|44|5813
ISSA Meet|Local|2023-04-22|9|5805
Seacoast Open|Local|2023-04-22|68|5816
LFTD Classic|Local|2023-04-22|12|5806
2023 O.C. State Qualifier|Local|2023-04-22|55|5807
Train Harder Open|Local|2023-04-22|28|5808
2023 White Rose Barbell Club Spring Tune Up|Local|2023-04-22|12|5809
Battle Born Classic 2023|Local|2023-04-22|18|5810
2023 Strength Works Open Weightlifting Competition|Local|2023-04-22|37|5811
South Bay Open|Local|2023-04-22|114|5812
Allsouth Spring Kickoff and Youth invitational|Local|2023-04-22|44|5813
LBC Spring Meet|Local|2023-04-22|36|5869
