title,date,location,meet url id,old weight classes
EUROPEAN U 23 CHAMPIONSHIPS,"Sep 10, 2011","Bucharest, ROU",?event_id=185,true
ASIAN JUNIOR CHAMPIONSHIPS,"Sep 05, 2011","Pattaya, THA",?event_id=175,true
ASIAN YOUTH CHAMPIONSHIPS,"Sep 05, 2011","Pattaya, THA",?event_id=173,true
XIV. PACIFIC GAMES,"Sep 05, 2011","Noumea, NCL",?event_id=171,true
SIMON BOLIVAR INTERNATIONAL TOURNAMENT,"Aug 25, 2011","Valencia, VEN",?event_id=167,true
2011 SOUTH AMERICAN CHAMPIONSHIPS,"Aug 25, 2011","Valencia, VEN",?event_id=165,true
EUROPEAN YOUTH CHAMPIONSHIPS,"Aug 21, 2011","Ciechanow, POL",?event_id=187,true
26th SUMMER UNIVERSIADE,"Aug 12, 2011","Shenzhen, CHN",?event_id=163,true
2011 IWF JUNIOR WORLD CHAMPIONSHIPS,"Jun 29, 2011","Penang, MAS",?event_id=160,true
ARAFURA GAMES AND OCEANIA CHAMPIONSHIPS,"May 11, 2011","Darwin, AUS",?event_id=148,true
2011 IWF YOUTH WORLD CHAMPIONSHIPS,"May 08, 2011","Lima, PER",?event_id=144,true
90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS,"Apr 11, 2011","Kazan, RUS",?event_id=140,true
23RD WOMEN'S AND 42ND MEN'S ASIAN CHAMPIONSHIPS,"Apr 09, 2011","Tongling, CHN",?event_id=142,true
PAN AMERICAN YOUTH (-17) CHAMPIONSHIPS,"Apr 07, 2011","Isla Margarita, VEN",?event_id=161,true
CHINA IWF GRAND PRIX,"Jan 15, 2011","Fujian, CHN",?event_id=135,true
2012 IWF GRAND PRIX - BAKU INTERNATIONAL CUP,"Dec 14, 2012","BAKU, AZE",?event_id=224,true
EUROPEAN JUNIOR CHAMPIONSHIPS,"Nov 29, 2012","Eilat, ISR",?event_id=234,true
AFRICAN JUNIOR CHAMPIONSHIPS,"Nov 18, 2012","Tunis, TUN",?event_id=227,true
AFRICAN YOUTH CHAMPIONSHIPS,"Nov 18, 2012","Tunis, TUN",?event_id=229,true
ASIAN JUNIOR CHAMPIONSHIPS,"Nov 10, 2012","Yangoon, MYA",?event_id=222,true
ASIAN YOUTH CHAMPIONSHIPS,"Nov 08, 2012","Yangoon, MYA",?event_id=220,true
3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS,"Nov 05, 2012","Eilat, ISR",?event_id=217,true
2012 SOUTH AMERICAN CHAMPIONSHIPS,"Oct 24, 2012","Maracaibo, VEN",?event_id=226,true
2012 SOUTH AMERICAN JUNIOR CHAMPIONSHIPS,"Oct 24, 2012","Maracaibo, VEN",?event_id=225,true
2012 IWF GRAND PRIX - PRESIDENT'S CUP,"Oct 12, 2012","ST. Petersburg, RUS",?event_id=216,true
2012 IWF YOUTH WORLD CHAMPIONSHIPS,"Sep 18, 2012","Kosice, SVK",?event_id=215,true
EUROPEAN YOUTH CHAMPIONSHIPS,"Aug 25, 2012","Constanta, ROU",?event_id=218,true
XXX OLYMPIC GAMES,"Jul 27, 2012","London, GBR",?event_id=214,true
PAN AMERICAN YOUTH CHAMPIONSHIPS,"Jun 18, 2012","Vina Del Mar, CHI",?event_id=233,true
2012 COMMONWEALTH JUNIOR CHAMPIONSHIPS,"Jun 04, 2012","Apia, SAM",?event_id=213,true
YOUTH OCEANIA CHAMPIONSHIPS,"Jun 04, 2012","APIA, SAM",?event_id=208,true
OCEANIAN CHAMPIONSHIPS,"Jun 04, 2012","Apia, SAM",?event_id=209,true
JUNIOR OCEANIA CHAMPIONSHIPS,"Jun 04, 2012","Apia, SAM",?event_id=210,true
2012 COMMONWEALTH YOUTH CHAMPIONSHIPS,"Jun 04, 2012","Apia, SAM",?event_id=211,true
2012 COMMONWEALTH CHAMPIONSHIPS,"Jun 04, 2012","Apia, SAM",?event_id=212,true
2012 IWF JUNIOR WORLD CHAMPIONSHIPS,"May 10, 2012","Antigua Guatemala, GUA",?event_id=207,true
PAN-AMERICAN CHAMPIONSHIPS,"May 10, 2012","Antigua Guatemala, GUA",?event_id=206,true
2012 ASIAN CHAMPIONSHIPS,"Apr 22, 2012","Pyeongtaek, KOR",?event_id=205,true
EUROPEAN CHAMPIONSHIPS,"Apr 09, 2012","Antalya, TUR",?event_id=204,true
AFRICAN CHAMPIONSHIPS,"Mar 29, 2012","Nairobi, KEN",?event_id=203,true
PAN AMERICAN JUNIOR CHAMPIONSHIPS,"Mar 20, 2012","Medellin, COL",?event_id=231,true
2013 IWF GRAND PRIX & 2nd BAKU INTERNATIONAL CUP,"Dec 06, 2013","Baku, AZE",?event_id=261,true
2013 COMMONWEALTH YOUTH CHAMPIONSHIPS,"Nov 24, 2013","Penang, MAS",?event_id=263,true
2013 COMMONWEALTH JUNIOR CHAMPIONSHIPS,"Nov 24, 2013","Penang, MAS",?event_id=262,true
2013 COMMONWEALTH CHAMPIONSHIPS,"Nov 24, 2013","Penang, MAS",?event_id=260,true
